"L1016" "L1085" "L1368" "L1369" "L1370" "L1372" "L1376" "L1382" "L1385" "L1386" "L2292" "L2295" "L2296" "L2297" "L2301" "L2302" "L2611" "L2614" "L2616" "L2618" "L2619" "L2620" "L3431" "L3432" "L3433" "L3434" "L3435" "L3436" "L3437" "L3438" "L3439" "L3440" "L3441" "L3442" "L3443" "L3444" "L3445" "L3446" "L3447" "L3448" "L3449" "L3460" "L3463" "L3465" "L3470" "L3475" "L3477" "L3534" "L428" "L432" "L436" "L975" "L997"
"BGLAP_MMP11" 0.641733035752212 1.88681580293033 0.024713760298648 1.50715005472274 0.0691850302728289 -0.513353553875118 -0.842472951535457 0.168076265390523 -0.348978733343333 -1.23169785455688 -1.86690334335511 0.323979509434882 0.299639311552294 0.433944536322345 -0.342182329944311 0.10486763679057 0.0515649635842619 0.469735871020858 -0.377258327257901 0.298801786003586 -1.03197176755348 -0.242640352966303 0.229625038155999 0.027979871449073 -0.108743337247534 0.546622748026669 -0.185978317500764 0.317005092388716 -0.725706893307974 0.240349606643322 1.03046384180564 -0.0496005460887173 -1.25606847701509 -0.099691125833907 -1.85186920780954 -1.77153746518593 -1.72540865256145 1.49817194264882 1.17840555009499 0.0134813322880465 0.154353640766731 0.672153357443441 0.897631336808232 0.176522541483838 1.41060736958268 -0.0778776188295586 -0.377991094073237 -0.128957593051533 -0.556943839409481 -2.42586949715191 0.186336179545407 -1.50132352789494 -0.258051581910711
"MFAP4_FKSG30" 0.505057955289019 0.276063787237853 0.518054060909147 0.626266812110878 0.37881436117515 -0.0847443691950095 1.36647247318905 -0.131401237813149 -0.871528087944909 -0.912509802714926 -0.254811932553476 -1.19037371079043 0.0390930521653539 -1.17411132180633 0.546317109505863 -0.345949100016215 -0.848673229177065 -0.248001714458729 0.82639663245115 0.0810250893796356 0.450515357917603 -2.25186373639761 -0.557515726087777 0.190905484946279 -0.486926270938581 -0.357455646900337 -0.366394520722385 0.373072804235158 -0.581613907758508 -0.661901020055848 4.38522203608025 -0.709967536537425 1.1063890434507 -0.00442845875259321 -3.54759397959439 0.381416804856827 -5.00903724345156 0.609089713962133 0.0785267749005768 -0.794507186259686 1.16595220423555 1.54267267745415 0.0753736405234 -0.216934868170961 -0.0254939071699254 0.437752349078394 0.876873762885206 0.718941836121149 -1.40106915351988 0.166319563212919 -0.0397427964101641 -1.2037610041142 -1.41412850264949
"MFAP4_CSPG2" 0.854110300927851 0.265546090351251 0.88126192657779 0.556804459644396 0.728137584855047 0.63393054022757 1.38498795701413 0.0531037951949922 0.0527453260885461 -0.761458257661903 -0.186486453872965 -0.610269907067793 1.12185544537337 -1.20757013519263 0.624245877859449 -0.146559427103056 -0.445054029302683 1.36815345031182 0.749970648702646 -0.856433307944158 0.461183355371397 -2.08393820224624 0.615284279898424 0.322888460699321 -0.830240105457817 0.729227988178104 -0.335810721433661 0.178868239996301 -0.556039096379209 -0.444205824424517 3.11847963380565 0.0629685115658311 0.537845651030977 0.0793003168625536 -2.68545610327085 0.443120341474207 -2.97836468858963 0.51811258386402 0.356839479770906 -0.347276430820812 1.39014680379541 2.03717699348644 0.234691992423839 -0.11854138265837 -0.928420535545453 0.145481661971261 1.41441697854525 0.300249930667179 -1.69723641776168 -0.38871963766649 0.17828984349687 -1.33569438301782 -0.068661512571354
"CSPG2_MXRA5" 1.16734369663406 0.32681269357745 0.743907383650578 0.0801470513794358 0.221215622662292 -0.0412619066801602 2.12658299851195 0.56847169370236 0.374144541838123 -0.611401691415951 0.0386224029509271 0.208051897179546 0.28261444621841 -0.630679386523961 0.64126214914004 0.0988492824053533 -0.747395507311844 2.721424440475 0.452535845319858 0.171044730010652 -0.0752941813715979 -0.0535795247144068 1.13529817528717 0.813057483560036 1.60375421892258 1.37809299947515 0.225488183298599 0.0629873560343746 0.546322810449478 0.569025691612112 1.97404994096156 0.177172245030445 0.435088304790181 -0.307926315983898 0.259068546002726 -0.518379846779089 -0.37765394532464 0.0878703242497712 0.560183295840259 0.468172895517443 1.52842797695545 1.18053572473054 0.300522061623985 0.010414685386434 -0.00745957745201958 -0.310290982672784 0.757003596305119 0.533431485253731 -0.511239826844467 -0.242224361664808 0.10032044148845 -0.373747625411912 0.215675983566378
"COL8A1_H19" 1.0970712824643 0.236796737239857 1.40654834178221 0.24790732169914 0.255078165096903 0.0384157351478901 0.222293659295797 0.0563187659474525 -0.686485288222867 -0.281516640672329 0.748889737916535 0.051050288601532 0.129716493346924 0.29886179190423 0.349856629329391 -0.808835578244557 -0.380007440145363 1.06984044162773 -0.673266378688447 2.67110632392921 0.0542956200771078 0.0167689508932492 2.23418648153085 0.398721505587996 0.216701549411878 1.44175962764763 0.146309738840677 0.139207028344457 0.952027497301099 0.362441104887835 0.366022035822404 0.523875716048247 0.952446608805262 1.63092098176782 -2.35800038874383 -8.04156228544518 -0.0300101226124004 0.122897003167751 -0.0527303386301332 1.36989474895174 1.41294283542546 0.812561598432868 0.317813864878353 0.835033378167614 0.0256963143160246 -2.534465489948 -0.957953020314656 0.784305711377902 0.613738213002817 0.0483355613215326 0.161388451599357 -0.253523498091714 0.949723234163559
"PTHR1_DSPG3" -0.464909914647219 -0.151363386638744 -0.0580376494841873 -0.726876854060183 -0.206491586618249 -0.994131984777478 -0.708750571109777 1.10852148199183 -0.198328671489919 -0.187997897882438 1.37391742055702 0.02115411857725 -0.0295615274847715 0.0696083506885829 -0.601215831995093 0.130756786446202 -0.647775052944697 -0.386105551259976 -3.71489467186187 -0.477465232799021 0.868848914880016 -0.222979287606212 0.317081432934463 0.137589157033594 -1.0205336829341 0.141797031686192 0.0430386591690413 -0.926766807685417 -0.468417361045783 -0.531567233274126 0.392496367836179 -0.152424786879185 -0.513568208743419 0.182261141867118 2.00069506797532 1.48847065652947 0.121022685099349 -0.476358662760176 -0.635060720788375 -0.979780960116754 0.818728675786642 -3.02434449315946 1.21379621474907 0.00183412977146714 -0.810583416180119 1.30161285682765 0.626044325765595 0.585157494099354 -0.0684090479745914 0.738172541140795 0.837422890806679 0.259151320279033 1.16014550882087
"CXCL10_HOMER2" 0.319240313188625 -0.446336349100313 -0.372052150083723 1.19891596795153 -0.121934297296781 1.73932720900784 2.15579793678126 -1.31895894857375 0.534787701251586 0.631195627642477 0.170458624305436 -0.572494362697957 3.04674440254648 -0.045681186268811 1.17213616815525 0.101890425683722 0.0778408828594912 -0.297904122395036 1.33055532047029 1.109529921265 -0.225581971508004 0.0884207318611986 -1.30851984226004 1.13158150914368 -0.815848062968598 -0.610077320748891 -0.190280637486586 0.0451177012275679 -1.01353687912898 0.0535573704152345 0.0360132057462861 0.9992605612298 -1.51667490131193 -0.160976708307601 -2.35647754566984 -2.9201859374016 -0.830439397264324 0.510041303167346 -0.348761952520639 -0.872360377307243 1.42812995032083 0.0942013772642779 0.644059682643541 -0.0265327917303497 0.471639261911556 -1.22755914208843 -1.3029491436234 0.0603762716102059 -0.126096509267877 -0.917896066271616 -0.0510822579245965 -0.587142882995755 -1.29734524851915
"CSPG2_DDIT4L" 0.648002189885692 0.783791458791308 0.801393935523304 -0.176030250292606 -0.451020751539979 0.319833791170428 1.68093364992468 0.00949049829692106 0.0797881628828602 0.179904708513985 -1.31602194050373 -0.939749181631777 0.969421611019021 -1.02396633728586 0.0219914434250452 -0.678648760768985 -0.446654911032248 1.69161923322319 -0.248723775311285 -1.37610808328335 -0.380887778355986 -0.340297964700648 1.01404461039206 0.458402101886758 1.38194991776806 1.23215687765874 -0.570990017501238 0.0740501773812733 -0.412137484623683 0.399819322216451 2.83197636739754 0.0577344959676179 0.744310777912344 0.112534938135751 0.677470946596876 0.755548541615016 -1.15758712124819 -0.49991391108788 1.63205461626653 -0.602881129654802 0.922761976167592 3.93336308082004 -0.616857952096097 0.140820645103998 -0.670204573390609 0.14777909765302 -1.07446212405105 -0.162682091920299 -3.35908973527131 -0.10955637931911 0.190658036082559 -1.24427126779311 -0.0934174166971661
"TMSL8_SRPX" -1.32477005540035 -0.583026152883803 -0.351460771791096 -0.623944382219284 0.110319890111957 -1.55044867258943 -1.55279543255256 -0.0214263378159287 0.0761285167668234 -1.05840429858905 0.00572442768214049 4.76288436405893 -0.151074253133627 -0.683946965758175 -0.237789816371181 -0.321718610316296 0.0344695517071466 -1.35430049090688 0.992705056012211 -0.533075306982192 -1.6485047528754 0.161431198551557 -0.41219287145339 -0.0453871991418321 0.154871550002121 -1.0382244739572 -1.31771028720933 -0.370506581785353 -0.539471292249991 0.143803103614625 -1.65326730334349 -0.130587573523496 0.0105517155234277 -1.11195560616583 0.991796486031328 2.68373762680008 -1.25061116387618 -0.498309343357698 -0.782828946096938 0.156144105853223 -1.09560272642619 -0.150924598441846 -1.43889980102313 -1.03164405547408 -0.371927856001573 0.973683637315606 0.0764701878976626 0.0238201368992135 -0.221315457723647 0.232783700824279 1.25818885224791 -0.258218892825004 -0.305625442148218
"BGLAP_HLA-DQB1" 0.0625587103983401 2.42207302287297 0.135170958485211 0.225004556062343 0.106961210428161 0.636010154281082 -1.7776795215784 -1.10114626177776 -0.0205093482938689 -1.20228915132757 -3.61512656901128 -0.269797070891205 -0.186523029963848 0.353100489859047 1.86716686289596 -0.104217469821403 -0.111382872227122 0.88593490297364 0.250999456325326 0.428340601936598 -0.256381566566639 -0.841294049207103 1.00937642543939 -0.0289163692096811 0.578026419151064 0.835063966152646 -0.137026526518395 0.215930785655521 -1.23399200456379 0.180075736956118 -0.271866747740923 0.0284869643097478 -0.561507325758619 0.0676492660631704 -2.18127619129935 -0.770814432320421 -1.6790100144421 -0.353725570593106 0.794987439408944 0.126648830009122 0.0533030648743887 -0.302542364721811 0.0625531369976097 0.344532068755999 0.970119386482823 0.0750388531457511 -0.336068660770486 0.575998675847432 1.64873850096077 -1.2409347473396 -0.954076351276581 -2.19788921938006 0.110654883249141
